Date;SP500
25.06.03;995.69
26.06.03;981.64
27.06.03;983.45
30.06.03;975.32
01.07.03;985.82
02.07.03;976.22
03.07.03;974.50
04.07.03;974.50
07.07.03;982.32
08.07.03;993.75
09.07.03;985.70
10.07.03;1004.42
11.07.03;1007.84
14.07.03;1002.21
15.07.03;988.70
16.07.03;998.14
17.07.03;1003.86
18.07.03;1000.42
21.07.03;994.09
22.07.03;981.73
23.07.03;993.32
24.07.03;978.80
25.07.03;988.11
28.07.03;988.61
29.07.03;981.60
30.07.03;998.68
31.07.03;996.52
01.08.03;989.28
04.08.03;987.49
05.08.03;990.31
06.08.03;980.15
07.08.03;982.82
08.08.03;965.46
11.08.03;967.08
12.08.03;974.12
13.08.03;977.59
14.08.03;980.59
15.08.03;990.35
18.08.03;984.03
19.08.03;990.51
20.08.03;990.67
21.08.03;999.74
22.08.03;1002.35
25.08.03;1000.30
26.08.03;1003.27
27.08.03;993.06
28.08.03;993.71
29.08.03;996.73
01.09.03;996.73
02.09.03;996.79
03.09.03;1002.84
04.09.03;1008.01
05.09.03;1021.99
08.09.03;1026.27
09.09.03;1027.97
10.09.03;1021.39
11.09.03;1031.64
12.09.03;1023.17
15.09.03;1010.92
16.09.03;1016.42
17.09.03;1018.63
18.09.03;1014.81
19.09.03;1029.32
22.09.03;1025.97
23.09.03;1039.58
24.09.03;1036.30
25.09.03;1022.82
26.09.03;1029.03
29.09.03;1009.38
30.09.03;1003.27
01.10.03;996.85
02.10.03;1006.58
03.10.03;995.97
06.10.03;1018.22
07.10.03;1020.24
08.10.03;1029.85
09.10.03;1034.35
10.10.03;1039.25
13.10.03;1033.78
14.10.03;1038.73
15.10.03;1038.06
16.10.03;1045.35
17.10.03;1049.48
20.10.03;1046.76
21.10.03;1050.07
22.10.03;1039.32
23.10.03;1044.68
24.10.03;1046.03
27.10.03;1030.36
28.10.03;1033.77
29.10.03;1028.91
30.10.03;1031.13
31.10.03;1046.79
03.11.03;1048.11
04.11.03;1046.94
05.11.03;1050.71
06.11.03;1059.02
07.11.03;1053.25
10.11.03;1051.81
11.11.03;1058.05
12.11.03;1053.21
13.11.03;1047.11
14.11.03;1046.57
17.11.03;1058.53
18.11.03;1058.41
19.11.03;1050.35
20.11.03;1043.63
21.11.03;1034.15
24.11.03;1042.44
25.11.03;1033.65
26.11.03;1035.28
27.11.03;1035.28
28.11.03;1052.08
01.12.03;1053.89
02.12.03;1058.45
03.12.03;1058.20
04.12.03;1070.12
05.12.03;1066.62
08.12.03;1064.73
09.12.03;1069.72
10.12.03;1061.50
11.12.03;1069.30
12.12.03;1060.18
15.12.03;1059.05
16.12.03;1071.21
17.12.03;1074.14
18.12.03;1068.04
19.12.03;1075.13
22.12.03;1076.48
23.12.03;1089.18
24.12.03;1088.66
25.12.03;1088.66
26.12.03;1092.94
29.12.03;1096.02
30.12.03;1094.04
31.12.03;1095.89
31.12.03;1095.89
01.01.04;1095.89
02.01.04;1109.48
05.01.04;1109.64
06.01.04;1111.92
07.01.04;1108.48
08.01.04;1122.22
09.01.04;1123.67
12.01.04;1126.33
13.01.04;1131.92
14.01.04;1121.86
15.01.04;1127.23
16.01.04;1121.22
19.01.04;1121.22
20.01.04;1130.52
21.01.04;1132.05
22.01.04;1139.83
23.01.04;1138.77
26.01.04;1147.62
27.01.04;1143.94
28.01.04;1141.55
29.01.04;1155.37
30.01.04;1144.05
02.02.04;1128.48
03.02.04;1134.11
04.02.04;1131.13
05.02.04;1135.26
06.02.04;1136.03
09.02.04;1126.52
10.02.04;1128.59
11.02.04;1142.76
12.02.04;1139.81
